record   significant segments
XP_010764066.1	1
XP_010764071.1	1
XP_010764072.1	2
XP_010764124.1	1
XP_010764134.1	1
XP_010764162.1	3
XP_010764192.1	2
XP_010764224.1	1
XP_010764229.1	1
XP_010764231.1	2
XP_010764232.1	1
XP_010764233.1	1
XP_010764238.1	1
XP_010764242.1	3
XP_010764243.1	3
XP_010764244.1	3
XP_010764245.1	2
XP_010764246.1	3
XP_010764247.1	1
XP_010764248.1	1
XP_010764249.1	1
XP_010764257.1	1
XP_010764267.1	1
XP_010764268.1	1
XP_010764269.1	1
XP_010764270.1	1
XP_010764271.1	1
XP_010764275.1	1
XP_010764278.1	1
XP_010764280.1	1
XP_010764282.1	1
XP_010764283.1	1
XP_010764286.1	4
XP_010764287.1	1
XP_010764288.1	1
XP_010764289.1	1
XP_010764290.1	1
XP_010764291.1	1
XP_010764292.1	1
XP_010764293.1	1
XP_010764294.1	1
XP_010764295.1	1
XP_010764296.1	1
XP_010764298.1	1
XP_010764299.1	1
XP_010764300.1	1
XP_010764306.1	2
XP_010764307.1	2
XP_010764309.1	1
XP_010764310.1	1
XP_010764316.1	1
XP_010764333.1	2
XP_010764336.1	1
XP_010764337.1	1
XP_010764374.1	1
XP_010764380.1	1
XP_010764382.1	1
XP_010764408.1	1
XP_010764419.1	1
XP_010764445.1	1
XP_010764450.1	1
XP_010764451.1	1
XP_010764452.1	1
XP_010764480.1	1
XP_010764515.1	1
XP_010764518.1	1
XP_010764525.1	1
XP_010764545.1	1
XP_010764574.1	1
XP_010764577.1	1
XP_010764580.1	1
XP_010764584.1	1
XP_010764602.1	2
XP_010764615.1	1
XP_010764616.1	1
XP_010764621.1	1
XP_010764622.1	1
XP_010764623.1	1
XP_010764624.1	1
XP_010764625.1	1
XP_010764650.1	7
XP_010764656.1	1
XP_010764668.1	1
XP_010764691.1	2
XP_010764706.1	1
XP_010764707.1	1
XP_010764746.1	1
XP_010764790.1	1
XP_010764791.1	1
XP_010764793.1	1
XP_010764798.1	1
XP_010764799.1	1
XP_010764800.1	1
XP_010764801.1	1
XP_010764833.1	3
